Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Race
All crimes,6051.4,5818.5,5995.2,5563.0,5657.5,6022.9,6255.5,6268.5,6615.4,6599.1,6567.2,6724.1,6438.8,6563.9,7183.3,7247.4,7649.3,7426.7,6784.5,6213.2,5993.6,5665.1,5732.0,5521.3,5420.8,5197.8,5371.8,5270.3,5123.6,4644.2,4243.0,3787.4,3362.8,2706.5,2549.0,2302.6,2112.7,1981.5,1793.4,1748.3,White
Murder and nonneglient manslaughter,4.0,3.9,3.6,3.2,3.0,3.2,3.6,3.5,4.5,4.7,5.7,6.0,5.8,5.8,6.1,5.4,4.6,4.0,3.9,2.5,2.1,2.1,2.3,2.2,1.9,2.0,1.9,2.1,1.9,1.8,1.7,1.5,1.3,1.1,1.3,1.2,1.2,1.4,1.5,1.6,White
Forcible rape*,7.9,7.8,8.6,8.9,10.8,11.8,11.5,11.1,12.3,14.1,14.0,15.8,14.7,15.2,14.3,12.7,13.1,12.6,12.6,11.9,10.8,10.5,11.0,9.9,10.1,9.7,8.8,8.5,8.0,7.8,7.0,7.0,6.4,,,,,,,,White
Robbery,58.5,55.1,54.2,48.1,44.6,48.0,47.6,43.4,48.5,58.0,64.2,74.6,75.4,76.9,85.5,86.7,81.3,64.3,54.9,45.8,41.7,38.3,35.0,33.1,32.8,33.3,40.6,40.0,42.0,38.1,33.2,28.0,24.6,20.6,20.9,21.8,22.3,24.4,23.2,23.2,White
Aggravated assault,102.1,98.6,102.1,96.5,98.1,106.3,112.5,109.9,127.2,148.8,163.8,176.5,183.6,190.7,201.5,198.1,185.3,184.2,175.7,166.2,155.7,152.9,142.0,135.8,132.8,130.2,128.8,124.7,120.5,107.8,98.7,89.0,78.8,66.5,66.2,63.3,60.6,60.7,61.7,61.1,White
Burglary,664.8,639.9,620.5,562.4,523.4,559.5,541.8,529.7,527.0,524.2,494.3,507.6,481.3,450.0,454.0,420.7,417.4,387.8,341.4,281.4,270.5,251.4,235.4,226.7,215.3,199.3,211.4,204.1,203.4,177.2,157.1,145.4,124.7,98.2,90.3,79.0,70.2,68.7,48.7,47.0,White
Larceny-theft,1251.3,1224.2,1249.9,1231.3,1267.6,1347.6,1404.3,1469.3,1548.6,1545.7,1546.9,1576.5,1477.9,1414.6,1506.9,1492.2,1468.3,1409.7,1170.1,1020.6,983.8,909.2,895.2,847.1,841.0,764.0,712.0,756.5,816.7,802.0,709.6,629.3,543.8,444.0,424.4,374.6,320.6,270.2,207.5,185.5,White
Motor vehicle theft,178.7,151.9,141.6,126.3,131.3,153.3,171.1,184.8,221.0,244.2,244.9,238.9,220.8,212.0,214.2,195.3,176.7,159.1,133.4,114.0,112.0,105.6,98.1,94.8,84.2,76.5,71.0,61.1,50.3,41.9,33.8,30.4,29.7,24.9,25.7,28.8,29.2,29.3,26.4,25.5,White
Arson,29.1,29.3,25.8,26.1,28.5,29.6,28.1,27.3,31.4,31.0,30.6,34.8,35.1,33.4,39.3,34.9,33.3,33.9,28.8,28.4,26.2,30.3,25.0,24.9,22.9,24.0,24.3,21.0,19.4,15.9,13.4,13.9,12.4,10.7,9.0,7.9,7.2,6.5,5.0,5.0,White
Simple assault,229.5,221.5,230.9,233.1,223.6,266.7,287.8,312.7,350.6,390.9,422.9,445.7,460.1,494.9,559.7,560.8,609.6,629.8,620.2,593.2,592.0,588.5,564.2,556.0,571.4,557.4,563.2,542.8,528.1,502.8,491.5,444.4,400.1,333.3,315.7,304.7,294.7,282.3,292.4,299.3,White
Vandalism,423.9,392.3,376.2,379.0,393.5,416.8,405.5,420.5,441.3,456.2,489.3,523.1,519.0,498.8,524.2,463.2,469.1,447.7,410.0,372.6,361.7,326.7,323.0,321.6,311.1,309.0,351.9,334.4,325.0,276.2,234.7,202.7,177.0,136.6,129.6,116.3,107.4,101.1,82.5,89.0,White
Weapons law violations,73.9,75.2,75.6,71.4,78.2,90.0,89.1,85.1,99.3,105.8,111.8,130.8,142.2,161.9,167.0,149.6,139.0,136.5,117.6,108.2,93.4,93.1,88.5,96.4,98.7,103.9,109.3,100.9,92.7,79.9,75.9,67.3,58.7,48.0,47.5,43.3,41.4,39.0,37.1,35.7,White
Drug abuse violations,368.7,303.4,304.5,261.3,281.4,312.0,257.3,258.0,273.8,270.9,187.5,168.4,194.3,266.6,413.9,507.1,554.4,572.3,531.9,516.3,539.8,554.6,511.0,539.1,520.3,506.4,514.5,517.0,492.1,479.8,492.7,433.3,408.3,339.4,334.5,295.2,292.5,279.4,265.0,243.2,White
Driving under the influence,123.9,118.7,129.3,121.7,104.1,102.1,120.3,105.3,105.9,89.5,88.7,78.5,60.6,53.7,53.5,57.3,68.5,72.9,76.5,81.6,77.1,74.8,77.3,74.3,70.2,63.5,70.9,64.3,56.6,48.1,42.8,36.3,34.0,27.3,25.0,23.3,22.9,21.3,19.0,19.9,White
Liquor law violations,576.9,560.6,581.3,536.2,545.7,580.4,694.6,692.7,732.1,668.6,673.2,600.7,485.3,455.3,472.1,480.3,594.5,505.1,491.8,492.1,464.2,380.8,510.4,465.6,437.1,433.2,483.4,483.9,451.0,383.5,327.1,306.8,271.0,205.7,179.3,150.3,128.4,116.4,91.3,91.5,White
Drunkenness,163.6,148.4,158.6,129.2,124.1,113.4,130.5,101.3,100.8,89.8,99.2,88.4,73.4,64.4,68.6,75.2,85.7,87.8,89.6,74.0,77.1,71.5,64.2,58.3,56.4,53.5,55.4,57.8,53.3,47.6,43.9,39.1,34.2,25.2,22.1,18.0,15.8,13.3,10.4,10.7,White
Disorderly conduct,379.2,338.4,363.4,319.3,289.9,302.8,317.3,324.8,357.8,364.2,369.0,391.9,389.5,405.7,476.2,467.6,570.6,572.3,484.8,433.7,409.9,397.3,471.5,455.9,462.7,454.4,463.6,447.7,419.2,376.6,351.6,312.6,262.4,202.3,170.8,155.6,139.5,134.8,126.5,118.1,White
Curfew and loitering,226.0,273.3,262.1,224.2,267.9,266.5,294.1,294.0,239.5,266.0,281.5,325.0,308.4,341.3,414.9,476.3,554.5,517.5,545.4,485.5,441.7,396.0,370.3,350.5,344.1,331.7,356.4,350.4,327.0,266.4,219.5,185.0,158.3,117.1,109.3,93.8,76.3,67.0,49.1,38.5,White
Running away,507.3,486.6,484.2,466.7,543.1,599.4,620.6,604.6,628.9,605.4,644.0,638.8,632.8,613.8,818.8,806.7,630.4,620.7,519.8,458.8,430.7,393.8,364.0,346.2,331.1,293.3,299.8,280.7,280.4,237.5,,,,,,,,,,,White
Violent crimes*,164.6,157.6,159.9,147.9,145.7,157.5,163.6,156.8,180.2,211.5,233.6,257.1,264.8,273.5,293.0,290.1,271.2,252.5,234.5,214.5,199.4,193.3,179.3,171.1,167.5,165.5,171.2,166.8,164.4,147.7,133.5,118.5,104.7,88.2,88.4,86.3,84.0,86.4,86.4,85.9,White
Property crime index,2123.9,2045.2,2037.7,1946.1,1950.8,2090.1,2145.4,2211.1,2327.9,2345.0,2316.7,2357.7,2215.0,2110.1,2214.4,2143.1,2095.7,1990.5,1673.6,1444.4,1392.5,1296.6,1253.8,1193.5,1163.5,1063.9,1018.8,1042.6,1089.8,1037.1,914.0,819.1,710.6,577.7,549.4,490.3,427.3,374.6,287.6,263.0,White
All crimes,9912.9,11152.4,11731.8,10653.5,10453.3,10835.2,11388.0,11784.8,12966.0,13765.1,12949.5,13578.9,13826.6,14376.1,15279.6,15354.7,14838.5,14270.7,12673.7,11293.1,10738.6,10573.3,10255.7,10287.4,10278.0,10745.5,10954.2,10920.5,10755.2,10100.8,9137.0,8375.6,7817.1,6798.2,6537.6,5752.8,5447.1,5148.1,4619.5,4249.5,AfricanAmerican
Murder and nonneglient manslaughter,17.2,22.7,20.2,16.2,14.3,17.9,19.4,23.1,31.4,38.7,43.9,44.7,42.5,51.5,46.4,39.8,32.4,27.0,19.8,14.3,11.6,11.6,12.2,11.4,10.0,11.9,13.0,13.2,12.9,12.0,10.1,8.1,6.9,8.2,7.8,8.7,9.5,10.1,9.7,7.8,AfricanAmerican
Forcible rape*,56.1,60.0,61.0,63.1,69.6,68.1,74.0,74.3,66.7,68.4,64.5,64.5,63.5,60.4,53.4,52.6,47.8,45.8,40.7,32.2,30.4,32.3,30.8,25.9,25.7,23.8,21.0,22.3,20.8,18.4,18.2,17.7,15.4,,,,,,,,AfricanAmerican
Robbery,656.1,681.6,621.8,601.2,568.5,550.2,533.3,494.8,502.5,589.0,602.0,631.5,630.0,672.2,727.4,711.7,594.5,472.5,389.9,339.4,308.0,297.2,268.8,284.8,283.7,341.4,406.7,403.5,416.9,377.8,325.2,292.6,269.8,252.9,256.4,233.6,242.5,235.0,202.0,180.1,AfricanAmerican
Aggravated assault,310.7,328.2,341.9,334.4,362.8,400.7,449.7,466.7,563.5,641.5,662.8,651.2,720.9,746.9,772.9,748.3,616.5,591.9,534.4,485.8,467.4,449.5,426.5,425.1,419.4,446.3,434.6,403.4,411.1,372.4,330.4,308.7,282.5,246.7,236.9,218.5,220.0,218.9,209.0,195.1,AfricanAmerican
Burglary,1287.4,1282.3,1235.5,1063.2,903.3,917.0,913.6,864.4,855.8,807.4,742.6,720.4,735.1,705.9,728.2,695.3,631.5,617.6,544.0,473.5,446.9,416.1,407.0,399.5,394.8,418.7,448.7,460.4,510.8,491.5,423.1,428.0,382.7,316.6,311.5,272.7,245.6,231.0,170.5,148.6,AfricanAmerican
Larceny-theft,2730.1,2798.9,2934.8,2831.2,2848.4,2887.3,2870.9,2803.3,2876.5,2751.1,2652.1,2682.4,2560.1,2591.0,2895.8,2822.9,2590.7,2575.2,2177.0,1933.2,1854.1,1777.2,1637.2,1568.4,1537.3,1426.2,1392.4,1577.1,1757.9,1788.1,1605.4,1531.5,1427.3,1248.2,1193.1,1036.6,891.6,843.6,679.4,622.9,AfricanAmerican
Motor vehicle theft,340.1,282.9,254.8,244.2,267.9,353.6,495.8,589.3,785.4,911.6,838.4,807.4,789.0,786.8,754.2,657.2,554.7,482.1,363.5,375.5,381.5,358.2,336.2,318.7,280.1,288.7,254.7,215.7,195.5,151.1,118.7,106.2,94.3,93.4,109.6,127.7,145.7,153.4,140.2,122.8,AfricanAmerican
Arson,27.6,27.9,28.5,26.0,26.4,25.5,26.1,25.8,31.5,29.4,32.2,32.8,32.3,36.3,43.0,40.1,35.7,39.7,31.3,30.9,29.9,28.6,27.1,24.8,25.8,25.8,25.3,25.9,22.4,19.3,17.9,22.8,20.6,16.1,14.5,11.3,11.5,10.1,9.6,9.0,AfricanAmerican
Simple assault,615.7,619.8,684.6,708.4,683.1,804.6,873.4,1005.4,1126.4,1280.3,1269.2,1410.2,1421.6,1513.6,1602.8,1643.5,1650.3,1670.1,1538.6,1473.4,1469.4,1532.4,1516.4,1584.7,1661.1,1686.7,1656.6,1628.8,1578.3,1513.0,1421.3,1323.0,1234.2,1098.5,1067.1,942.9,944.5,883.5,873.1,859.4,AfricanAmerican
Vandalism,332.5,362.9,364.9,365.1,392.5,436.9,417.2,429.1,469.4,503.9,532.2,544.8,539.0,526.4,536.7,509.6,485.9,471.9,423.3,358.4,346.1,339.5,327.1,339.9,323.8,353.9,380.2,361.2,347.8,305.6,270.3,262.9,248.7,206.2,211.5,206.5,198.7,186.3,161.9,157.9,AfricanAmerican
Weapons law violations,158.5,182.0,181.2,179.1,192.6,203.6,224.9,240.1,331.4,369.6,347.0,431.3,469.6,499.9,477.4,418.0,361.3,348.0,284.1,251.4,222.7,226.0,204.3,226.9,238.3,288.2,297.2,282.8,263.0,223.3,201.4,189.3,167.6,142.4,154.0,145.0,155.7,146.8,133.9,120.7,AfricanAmerican
Drug abuse violations,336.8,332.1,363.3,342.8,388.5,478.7,540.7,696.9,1033.9,1270.7,935.0,975.4,1006.2,1091.4,1277.3,1491.7,1506.8,1421.5,1283.7,1117.2,1060.9,991.3,894.0,930.5,931.9,970.1,1006.9,978.5,850.7,765.6,723.7,624.3,598.9,521.6,480.6,396.9,399.1,383.5,376.5,316.1,AfricanAmerican
Driving under the influence,19.5,16.8,20.2,17.7,15.3,15.9,20.5,15.8,20.3,15.7,16.5,18.5,18.1,16.5,19.2,19.0,21.0,21.8,23.5,22.4,18.9,16.3,16.6,14.0,12.7,12.2,12.0,13.7,12.1,12.2,12.2,9.9,8.7,7.3,7.4,7.2,8.0,7.3,6.9,5.9,AfricanAmerican
Liquor law violations,76.2,84.8,102.6,94.7,84.7,97.9,118.5,119.3,136.8,143.3,157.1,165.8,146.6,135.3,134.4,142.6,173.4,164.6,171.5,145.9,131.5,111.0,113.4,100.4,100.6,101.0,115.0,121.5,127.1,119.4,118.1,108.3,99.9,79.6,67.9,53.1,45.3,36.5,30.9,32.8,AfricanAmerican
Drunkenness,41.2,38.1,46.1,43.1,38.9,31.9,47.5,34.0,36.6,43.5,54.8,46.9,41.1,34.7,41.9,40.8,42.9,41.4,35.4,30.4,29.4,28.1,25.1,26.9,23.2,22.8,22.7,22.4,22.1,21.7,19.2,19.8,16.2,12.6,11.5,9.2,8.7,6.6,7.6,7.5,AfricanAmerican
Disorderly conduct,669.1,820.4,1046.6,753.5,597.9,612.6,630.9,722.6,894.0,952.8,889.7,1027.1,1043.1,1113.9,1203.7,1286.3,1501.5,1421.4,1136.3,1026.6,1009.2,1101.5,1199.7,1242.8,1288.6,1404.0,1431.7,1424.1,1341.7,1239.8,1123.2,1025.3,935.1,781.9,661.3,554.5,532.5,486.9,443.9,410.4,AfricanAmerican
Curfew and loitering,263.8,570.5,592.0,479.0,536.8,440.2,428.1,514.6,417.0,435.4,399.2,436.6,414.8,382.7,557.5,642.7,905.5,995.3,939.5,785.8,695.4,682.9,736.1,738.0,773.9,877.5,971.5,835.9,797.9,735.5,646.7,496.9,507.9,465.5,456.1,368.3,255.7,223.0,164.4,79.5,AfricanAmerican
Running away,467.9,653.4,425.6,363.3,413.8,483.7,507.9,520.9,566.2,583.6,661.3,683.3,673.5,653.1,988.0,957.8,657.3,679.3,563.0,501.1,461.0,451.8,408.4,439.2,444.0,438.2,478.7,481.7,509.5,443.3,,,,,,,,,,,AfricanAmerican
